Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
20,908,24,Apr 25,MIN,,NYY,W6-2,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.205,.276,.346,.622,2,.66,-0.076,.76,-0.05%,-0.35,2.00,3.00,SS
21,909,25,Apr 26,MIN,,NYY,L6-12,GS-6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.200,.270,.338,.607,2,.81,-0.058,.91,-0.04%,-0.70,0.00,0.00,SS
22,910,26,Apr 27,MIN,,KCR,W7-1,CG,4,3,2,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.205,.280,.373,.653,2,.32,0.036,.36,0.03%,0.79,18.00,24.90,SS
23,911,27,Apr 28,MIN,,KCR,W8-6,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.195,.268,.356,.624,2,.89,-0.107,1.04,-0.08%,-1.61,0.00,0.00,SS
24,912,28,Apr 29,MIN,,KCR,L2-3,GS-9,5,4,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.209,.284,.363,.647,2,2.19,0.012,2.60,0.01%,-0.49,8.00,9.00,SS
25,913,29,Apr 30,MIN,,KCR,W8-4,CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.202,.283,.351,.634,3,.30,0.006,.35,0.00%,-0.25,4.00,6.20,SS
26,914,30,May 2,MIN,@,CHW,L2-3,CG(10),4,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.206,.291,.361,.652,3,1.33,0.097,1.58,0.07%,0.53,7.00,9.00,SS
27,915,31,May 3,MIN,@,CHW,L4-6,CG,5,5,1,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,.206,.287,.363,.650,3,1.37,-0.004,1.64,0.00%,0.53,11.00,16.20,SS
28,916,32,May 4,MIN,@,CHW,W7-3,CG(12),6,5,1,1,0,0,1,2,1,0,2,0,0,0,0,1,0,0,.206,.289,.383,.672,2,1.77,-0.163,2.10,-0.12%,0.35,18.00,25.20,SS
29,917,33,May 5,MIN,@,CLE,W2-0,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.198,.280,.369,.649,2,.49,-0.049,.64,-0.04%,-0.58,0.00,0.00,SS
