Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
65,1447,98,Jul 22,PHI,@,CLE,L0-1,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.290,.384,.407,.791,4,1.10,-0.085,1.13,-0.05%,-0.62,0.00,0.00,DH
66,1448,99,Jul 23,PHI,@,CLE,W8-5,CG(10),5,4,2,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,.290,.385,.404,.789,3,2.01,0.339,2.11,0.21%,2.08,18.00,25.40,1B
67,1449,100,Jul 24,PHI,,BAL,L2-3,CG,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.293,.386,.406,.792,3,1.40,-0.006,1.46,0.00%,-0.15,6.00,6.00,DH
68,1450,101,Jul 25,PHI,,BAL,W4-3,CG,4,4,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.296,.388,.419,.807,3,1.46,0.225,1.47,0.14%,0.71,19.00,24.90,1B
69,1451,102,Jul 26,PHI,,BAL,W6-4,CG,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.296,.386,.416,.802,3,1.16,-0.023,1.24,-0.02%,-0.09,5.00,6.50,1B
70,1452,103,Jul 28,PHI,@,PIT,W2-1,CG,5,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.291,.383,.410,.793,3,1.00,-0.068,1.10,-0.05%,-0.93,2.00,3.00,1B
71,1453,104,Jul 29,PHI,@,PIT,L6-7,CG,5,5,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,.289,.380,.406,.786,3,1.30,-0.168,1.43,-0.11%,-1.02,3.00,3.00,1B
72,1454,105,Jul 30,PHI,@,PIT,L4-6,CG(10),5,2,1,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,.291,.387,.407,.793,3,1.57,0.216,1.71,0.14%,1.67,13.00,18.70,DH
73,1455,106,Jul 31,PHI,@,MIA,W4-2,CG,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.289,.384,.403,.787,3,1.34,-0.129,1.66,-0.10%,-1.28,3.00,3.00,DH
74,1456,107,Aug 1,PHI,@,MIA,W3-1,CG,4,4,1,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,.292,.385,.408,.793,3,1.88,0.305,2.41,0.23%,0.27,12.00,15.70,1B
