Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
11,740,11,Apr 11,NYY,@,CLE,W11-2,GS-8,5,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.341,.417,.659,1.075,2,.67,0.039,.67,0.02%,2.12,8.00,9.20,CF
12,741,12,Apr 12,NYY,@,CLE,W4-3,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.318,.404,.614,1.017,2,1.13,-0.029,1.16,-0.02%,-0.40,2.00,3.00,DH
13,742,13,Apr 13,NYY,,MIN,L2-11,GS-8,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.298,.382,.574,.956,2,.05,-0.004,.05,0.00%,-0.57,0.00,0.00,CF
14,743,14,Apr 14,NYY,,MIN,L3-4,CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.294,.373,.608,.981,2,1.16,-0.013,1.20,-0.01%,0.21,14.00,18.70,CF
15,744,15,Apr 15,NYY,,MIN,W6-1,CG,4,2,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,.302,.397,.623,1.019,2,.49,0.045,.49,0.03%,1.74,11.00,15.20,CF
16,745,16,Apr 16,NYY,,MIN,W2-0,CG,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.286,.388,.589,.977,2,.75,-0.028,.76,-0.02%,-0.44,4.00,6.20,CF
17,746,17,Apr 18,NYY,,LAA,L2-5,CG,4,3,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,.271,.366,.559,.926,2,1.60,-0.090,1.76,-0.06%,-0.77,2.00,3.50,RF CF
18,747,18,Apr 19,NYY,,LAA,W3-2,CG(10),5,3,1,1,0,0,1,2,2,1,1,0,0,0,0,0,0,0,.274,.382,.597,.978,2,1.74,0.093,1.65,0.05%,1.38,20.00,28.20,CF RF
19,748,19,Apr 20,NYY,,LAA,W9-3,GS-9,5,4,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.273,.383,.576,.958,2,.47,0.061,.48,0.04%,0.48,9.00,12.40,RF
20,749,20,Apr 21,NYY,,TOR,L1-6,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.271,.376,.557,.934,2,.97,-0.081,1.11,-0.06%,-0.47,3.00,3.00,RF
21,750,21,Apr 22,NYY,,TOR,W3-2,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.257,.360,.527,.887,2,.91,-0.103,.97,-0.07%,-1.00,0.00,0.00,CF
22,751,22,Apr 23,NYY,,TOR,L1-5,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.244,.344,.500,.844,2,.55,-0.057,.59,-0.04%,-0.69,0.00,0.00,RF
23,752,23,Apr 24,NYY,@,MIN,L1-6,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,.244,.340,.500,.840,2,.52,0.022,.51,0.01%,0.36,5.00,6.00,DH
24,753,24,Apr 25,NYY,@,MIN,L2-6,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.244,.337,.488,.825,3,1.03,0.039,.91,0.02%,0.12,5.00,6.20,CF
25,754,25,Apr 26,NYY,@,MIN,W12-6,CG,5,4,1,3,2,0,0,3,1,0,1,0,0,0,0,0,0,1,.267,.358,.522,.881,2,.52,0.149,.46,0.08%,2.15,23.00,31.70,DH
26,755,26,Apr 27,NYY,@,TEX,W4-2,GS-4,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.261,.352,.511,.863,2,1.05,-0.060,1.01,-0.04%,-0.99,0.00,0.00,RF
27,756,37 (10),May 9,NYY,,OAK,W10-5,CG,5,3,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,.253,.345,.495,.840,2,.64,0.057,.50,0.03%,0.38,8.00,13.20,RF
28,757,38,May 10,NYY,,OAK,W11-3,CG,5,4,2,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.273,.364,.515,.880,2,.30,0.057,.25,0.03%,1.30,17.00,21.40,DH
29,758,39,May 11,NYY,,TBR,L2-8,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.262,.352,.495,.848,2,.49,-0.051,.47,-0.03%,-0.85,0.00,0.00,RF
30,759,40,May 12,NYY,,TBR,W6-5,CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,.255,.349,.481,.830,2,1.44,-0.086,1.28,-0.05%,-0.95,4.00,6.20,RF
31,760,41,May 13,NYY,,TBR,W9-8,CG,5,4,2,2,0,0,2,4,1,0,1,0,0,0,0,0,0,0,.264,.359,.536,.895,2,1.28,0.447,1.21,0.25%,3.08,34.00,47.40,DH
32,761,42,May 14,NYY,,TBR,L7-8,CG,5,5,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.261,.353,.522,.875,2,1.08,-0.052,1.11,-0.03%,0.31,5.00,6.50,RF
33,762,43,May 15,NYY,@,TOR,W7-4,CG,5,2,2,2,0,0,2,3,3,1,0,0,0,0,0,0,0,0,.274,.376,.581,.957,2,.47,0.166,.45,0.10%,3.71,36.00,49.90,RF
34,763,44,May 16,NYY,@,TOR,W6-3,CG,5,5,1,1,0,0,1,2,0,0,3,0,0,0,0,0,0,0,.270,.370,.590,.960,2,1.13,0.261,1.14,0.16%,0.52,16.00,22.20,DH
35,764,45,May 17,NYY,@,TOR,L0-3,CG(10),5,3,0,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,.272,.377,.584,.961,2,2.30,0.031,2.49,0.02%,0.09,12.00,15.00,RF
36,765,46,May 18,NYY,@,TOR,W4-2,CG,4,4,1,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,.279,.381,.612,.993,2,1.07,0.170,1.07,0.10%,1.57,21.00,28.20,DH
37,766,47,May 19,NYY,@,CIN,W6-2,CG,5,4,2,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,.278,.381,.624,1.005,2,.50,0.075,.47,0.04%,0.31,18.00,24.90,CF RF
38,767,48,May 20,NYY,@,CIN,W7-4,CG(10),5,4,1,4,1,0,0,3,1,0,0,0,0,0,0,0,0,0,.299,.400,.642,1.042,2,2.42,0.502,2.37,0.29%,3.74,24.00,31.70,DH
39,768,50 (1),May 23,NYY,,BAL,W6-5,CG(10),5,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.298,.400,.652,1.052,2,2.09,0.406,2.45,0.29%,0.64,16.00,21.70,RF
40,769,51,May 24,NYY,,BAL,L6-9,CG,5,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,.294,.406,.643,1.049,2,.61,0.028,.77,0.02%,0.38,6.00,9.00,RF
41,770,52,May 25,NYY,,BAL,L1-3,CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.288,.402,.630,1.032,2,1.25,-0.053,1.47,-0.04%,-0.47,4.00,6.20,RF
